0 0.29090519602564197 2 4 6 8
1 0.07661481937478616 0 4 6 10
2 0.05477580266713162 0 2 8 10
3 0.6624230788055919 3 4 6 9
4 -0.0024370829521272986 0 1 8 9
5 -0.02290593817814437 1 2 8 11
6 -0.004428534972382853 0 1 6 7
7 0.10991931340720273 1 4 6 11
8 -0.8940861733779971 2 3 8 9
9 -1.343667141119867 0 1 10 11
10 2.584870299349628 0 5 6 11
11 -0.5140683019606684 0 3 8 11
12 2.4906540077890043 1 2 9 10
13 0.5165579115654584 2 3 8 9
14 -1.0297386314437738 4 5 6 7
15 0.5765178435468915 2 4 6 8
16 0.13839606476484995 0 4 6 10
17 -0.4524043299490787 0 2 8 10
18 0.5732228527630974 3 4 6 9
19 0.006132025410542545 0 1 8 9
20 -0.2679799759675904 1 2 8 11
21 0.006505888953825284 0 1 6 7
22 0.04606476759132854 1 4 6 11
23 0.21853554185013088 2 3 8 9
24 0.967322752908766 0 1 10 11
25 -0.8848951744422402 0 5 6 11
26 1.599381301157418 0 3 8 11
27 -1.0182780964166627 1 2 9 10
28 -0.5927510163318671 2 3 8 9
29 -3.929831875966249 4 5 6 7
30 0.04245683544297308 2 4 6 8
31 0.3401963943275117 0 4 6 10
32 0.09724381844056862 0 2 8 10
33 -0.2623893743553346 3 4 6 9
34 -0.0037575017528704937 0 1 8 9
35 0.10609028076536056 1 2 8 11
36 -0.0005880039321632381 0 1 6 7
37 0.31665606678442965 1 4 6 11
38 0.8076795185457357 2 3 8 9
39 1.958586758479405 0 1 10 11
40 -1.1098272467463095 0 5 6 11
41 -1.6637164604003396 0 3 8 11
42 -1.446684619245102 1 2 9 10
43 -0.375904322851246 2 3 8 9
44 -0.712553054627482 4 5 6 7
